Offer SKU;Product SKU;Category code;Category label;Product;Offer state;Price;Original price;Quantity;Alert threshold;Logistic Class;Activated;Available Start Date;Available End Date;Discount price;Discount Start Date;Discount End Date;EAN;Inactivity reason;Fulfillment center code
0005821000;M5056798436090;men-accessories-mens_bags_and_wallets;Mens Bags & Wallets;Real Leather Holdall with Striped Front Detail;New;220.00;220.00;6;;INIT;yes;;;;;;5056798436090;;DEFAULT
0005819600;M5056798455138;women-accessories-womens_bags_and_purses;Womens Bags & Purses;Large Real Leather Shopper Bag;New;150.00;150.00;1;;INIT;yes;;;;;;5056798455138;;DEFAULT
0005821300;M5056798435987;men-accessories-mens_bags_and_wallets;Mens Bags & Wallets;Real Leather Messenger Bag with Striped Front Detail;New;95.00;95.00;6;;INIT;yes;;;;;;5056798435987;;DEFAULT
0004518502;M5056798420433;women-clothing-womens_jackets_and_coats;Womens Jackets & Coats;Real Leather Short Biker Jacket;New;105.60;189.00;2;;INIT;yes;;;105.60;;;5056798420433;;DEFAULT
0004932700;M5061027911859;women-accessories-womens_bags_and_purses;Womens Bags & Purses;'Tramonto Toscana' Real Leather Flapover Quilted Bag;New;93.32;149.00;83;;INIT;yes;;;93.32;;;5061027911859;;DEFAULT
0005358106;M5056798438070;women-footwear-womens_flats;Womens Flats;Curly Wool Sheepskin Slippers;New;58.67;95.00;1;;INIT;yes;;;58.67;;;5056798438070;;DEFAULT
0005529204;M5056798454445;men-clothing-mens_jackets_and_coats;Mens Jackets & Coats;'Casa di Vero' Real Leather Brando Bomber Jacket;New;252.00;279.00;1;;INIT;yes;;;252.00;;;5056798454445;;DEFAULT
0004976204;M5061049601189;women-clothing-womens_jackets_and_coats;Womens Jackets & Coats;'Chiara' Mandarin Collar Real Leather Biker Jacket;New;173.32;229.00;1;;INIT;yes;;;173.32;;;5061049601189;;DEFAULT
0004388804;M5060999708580;women-clothing-womens_jackets_and_coats;Womens Jackets & Coats;'MB' Real Leather Fashion Biker Jacket;New;152.79;229.00;1;;INIT;yes;;;152.79;;;5060999708580;;DEFAULT
0005527709;M5056798454599;men-clothing-mens_jackets_and_coats;Mens Jackets & Coats;'Casa di Vero' Real Leather Brando Bomber Jacket;New;252.00;319.00;1;;INIT;yes;;;252.00;;;5056798454599;;DEFAULT
0005529209;M5056798454490;men-clothing-mens_jackets_and_coats;Mens Jackets & Coats;'Casa di Vero' Real Leather Brando Bomber Jacket;New;252.00;319.00;1;;INIT;yes;;;252.00;;;5056798454490;;DEFAULT
