Index,Image,Style,Colour,Offer SKU,SKURestockDate,StyleRestockDate,Cost Price,RRP,Sale Price,Stock,Q3 2024,Q4 2024,Q1 2025,Q2 2025,Total Sold
44,https://www.leathercompany.co.uk/images/products/zoom/1705406295-39481200.jpg,64202,MANDARIN,0004931400,2024-10-01,2023-11-01,-,129.00,44.99,26.0,0,14,3,5,22
44,https://www.leathercompany.co.uk/images/products/zoom/1705406295-39481200.jpg,64202,cotwold navy,0004931300,2024-10-01,2023-11-01,-,129.00,44.99,31.0,0,20,13,15,48
44,https://www.leathercompany.co.uk/images/products/zoom/1705406295-39481200.jpg,64202,ochre yellow,0004931500,2024-11-01,2023-11-01,-,129.00,44.99,33.0,0,6,1,5,12
44,https://www.leathercompany.co.uk/images/products/zoom/1705406295-39481200.jpg,64202,parafin,0004931600,2024-11-01,2023-11-01,-,129.00,44.99,51.0,0,17,9,5,31
45,https://www.leathercompany.co.uk/images/products/zoom/1719410986-79196200.jpg,64640/curve,2 tone tan,0005202700,2024-07-01,2024-07-01,6.85,69.99,29.99,63.0,3,45,22,6,76
45,https://www.leathercompany.co.uk/images/products/zoom/1719410986-79196200.jpg,64640/curve,BLACK,0005202600,2024-09-01,2024-07-01,6.85,69.99,29.99,180.0,1,79,59,15,154
45,https://www.leathercompany.co.uk/images/products/zoom/1719410986-79196200.jpg,64640/curve,BURNT ORANGE,0005202900,2024-08-01,2024-07-01,6.85,69.99,29.99,110.0,1,3,4,4,12
45,https://www.leathercompany.co.uk/images/products/zoom/1719410986-79196200.jpg,64640/curve,BUTTERSCOTCH,0005203400,2024-11-01,2024-07-01,6.85,69.99,29.99,13.0,0,6,8,3,17
45,https://www.leathercompany.co.uk/images/products/zoom/1719410986-79196200.jpg,64640/curve,ICE GREY,0005203100,2024-09-01,2024-07-01,6.85,69.99,29.99,35.0,1,5,2,1,9
45,https://www.leathercompany.co.uk/images/products/zoom/1719410986-79196200.jpg,64640/curve,MUSTARD,0005203200,2025-08-01,2024-07-01,6.85,69.99,29.99,51.0,1,5,3,0,9
45,https://www.leathercompany.co.uk/images/products/zoom/1719410986-79196200.jpg,64640/curve,RASPBERRY,0005202800,2024-11-01,2024-07-01,6.85,69.99,29.99,89.0,0,6,11,4,21
45,https://www.leathercompany.co.uk/images/products/zoom/1719410986-79196200.jpg,64640/curve,WOOD ROSE,0005203300,2024-08-01,2024-07-01,6.85,69.99,29.99,37.0,2,2,5,3,12
45,https://www.leathercompany.co.uk/images/products/zoom/1719410986-79196200.jpg,64640/curve,deep lake,0005203000,2024-11-01,2024-07-01,6.85,69.99,29.99,82.0,1,10,3,2,16
47,https://www.leathercompany.co.uk/images/products/zoom/1669135939-69087500.jpg,63791 croc,BLK/CROC,0004509000,2024-06-01,2024-06-01,-,110.00,33.99,6.0,30,53,28,20,131
47,https://www.leathercompany.co.uk/images/products/zoom/1669135939-69087500.jpg,63791 croc,GREEN/CROC,0004509100,2024-07-01,2024-06-01,-,110.00,33.99,0.0,7,17,9,20,53
47,https://www.leathercompany.co.uk/images/products/zoom/1669135939-69087500.jpg,63791 croc,TAN/CROC,0004509200,2024-07-01,2024-06-01,-,110.00,33.99,14.0,7,37,21,22,87
48,https://www.leathercompany.co.uk/images/products/zoom/1704898694-08402600.jpg,63858,BLACK,0004932600,2023-11-01,2023-11-01,18.0,149.00,69.99,88.0,11,72,27,7,117
48,https://www.leathercompany.co.uk/images/products/zoom/1704898694-08402600.jpg,63858,ICE GREY,0004932800,2024-10-01,2023-11-01,18.0,149.00,69.99,110.0,0,10,11,3,24
48,https://www.leathercompany.co.uk/images/products/zoom/1704898694-08402600.jpg,63858,cotwold navy,0004932700,2023-11-01,2023-11-01,18.0,149.00,69.99,83.0,7,12,13,7,39
49,https://www.leathercompany.co.uk/images/products/1673541590-94529200.jpg,s1,MANDARIN,0004523400,2024-09-01,2024-09-01,-,54.00,34.99,0.0,1,1,0,0,2
50,https://www.leathercompany.co.uk/images/products/zoom/1727960022-46019600.jpg,A4 WORKBAG,BLACK,0002304300,2024-04-01,2023-07-01,-,169.00,78.99,0.0,5,18,2,0,25
50,https://www.leathercompany.co.uk/images/products/zoom/1727960022-46019600.jpg,A4 WORKBAG,BROWN/CROC,0005295100,2024-10-01,2023-07-01,-,169.00,78.99,17.0,0,12,15,4,31
50,https://www.leathercompany.co.uk/images/products/zoom/1727960022-46019600.jpg,A4 WORKBAG,GREEN,0004114000,2024-04-01,2023-07-01,-,169.00,78.99,0.0,2,12,8,3,25
50,https://www.leathercompany.co.uk/images/products/zoom/1727960022-46019600.jpg,A4 WORKBAG,ICE GREY,0004804100,2023-07-01,2023-07-01,-,169.00,44.99,0.0,2,71,14,0,87
50,https://www.leathercompany.co.uk/images/products/zoom/1727960022-46019600.jpg,A4 WORKBAG,NAVY/CROC,0005295300,2024-11-01,2023-07-01,-,169.00,78.99,13.0,0,13,11,8,32
50,https://www.leathercompany.co.uk/images/products/zoom/1727960022-46019600.jpg,A4 WORKBAG,black croc,0005300500,2024-10-01,2023-07-01,-,169.00,78.99,0.0,0,36,18,0,54
